Key,Id,English(en),Portuguese (Brazil)(pt-BR),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW)
play,2143811756032,Play!,Jogar!,开始！,開始！
about,9044041621504,About!,Sobre!,关于！,關於！
quit,9282248728576,Quit!,Sair!,退出！,退出！
abttitle,9900904374272,ABOUT~!,SOBRE~!,关于游戏～！,關於遊戲～！
backtopresent,10603148304384,Back to the present...,De volta ao presente...,回到现在....,回到現在......
abtdesc,10743129006080,"（- made in 72 hours for MelonJam 4 (theme: corruption)

- made by cinnamew, pocketnii, spiderface721

- TW!: mentions murder, blood, light horror, violent crimes, and sexual assault","（- Criado em 72 horas para a MelonJam 4 (tema: corrup??o)
- Criado por cinnamew, effixs, pocketnii, spiderface721

- AG!: Men??es a assassinato, sangue, terror leve, crimes violentos e viola??o sexual","（- 在72小时内为MelonJam 4制作（主题：腐败） - 由cinnamew, pocketnii spiderface721制作 - TW!：提到谋杀、血液、轻度恐怖、暴力犯罪和性侵犯","此作在 72 小時內完成並參與了 MelonJam 4 （主題：腐敗）
由 cinnamew、pocketnii、與 spiderface721 製作
觸發警告：提及謀殺、偷竊、性侵害與其他犯罪行為、也包含其他輕微恐怖視覺效果如血液等。若在遊玩期間有任何不適請停止此遊戲。"
3weeks,180424633475072,3 weeks ago...,3 semanas atrás...,3个礼拜前...,三個禮拜前......
present3wk,180901131575296,Back to the present (3 weeks later)...,De volta ao presente (3 semanas depois...),回到现在（3周后...）,回到現在（三週後......）
7hrs,181127586242560,7 hours later...,7 horas depois...,7个小时后...,七小時後......
thingstofix,649697533353984,things to fix,coisas para arrumar,个东西需要修理,代辦清單
weekslater,699418809458688,Weeks later...,Semanas depois...,几周后... ,幾週後......
atstore,740985686679552,At the store...,Na loja...,在商店里...,在店內......
thanks,983884324102144,thank you for playing!,agradecemos por jogar!,感谢您的参与！,感謝遊玩！
credits,984483895664640,"made by...
> cinnamew: code/dialogue/story
> effixs: minigame art
> pocketnii: UI/other art/story
> spiderface721: minigame code
(music not by us!)","créditos:
> cinnamew: programa??o, diálogos, história
> effixs: arte dos minijogos
> pocketnii: IU, outras artes, história
> spiderface721: programa??o dos minijogos
> Natthan Coelho: tradu??o PTBR
(as músicas n?o s?o nossas!)","由...制作
> cinnamew: 代码/对话/故事
> effixs: 小游戏艺术
> pocketnii: UI/其他艺术/故事
> spiderface721: 小游戏代码
（音乐不是我们制作的！）","銘謝
> cinnamew：程式碼/對話/故事
> effixs：小遊戲元素繪圖
> pocketnii：界面/其他藝術/故事
> spiderface721：小遊戲程式碼
> 網路：音樂"
title,986048287170560,Back to Title,Voltar ao Início,返回标题,返回標題
language,997841499807744,en,pt-BR,zh-CN,zh-TW
tws,1044770027954176,*Please check TWs before playing!*,"*Por favor, cheque a se??o AG antes de jogar!*",*玩前请先查看TW部分！*,*在遊玩之前請先仔細閱讀觸發警告！*
musicon,1045539603046400,*Play with music on for the best experience!*,*Jogue com a música ligada para a melhor experiência!*,*播放音乐以获得最佳体验！*,*請開啟音效以取得最佳效果！*
back,2116517649145856,Back!,Voltar!,回来！,返回！
